Epoch: 001, Train Loss: 0.4636, Test MAE: 0.3475, Best MAE: 0.3475
Epoch: 002, Train Loss: 0.3393, Test MAE: 0.2796, Best MAE: 0.2796
Epoch: 003, Train Loss: 0.2914, Test MAE: 0.2624, Best MAE: 0.2624
Epoch: 004, Train Loss: 0.2603, Test MAE: 0.2341, Best MAE: 0.2341
Epoch: 005, Train Loss: 0.2337, Test MAE: 0.1969, Best MAE: 0.1969
Epoch: 006, Train Loss: 0.2045, Test MAE: 0.1756, Best MAE: 0.1756
Epoch: 007, Train Loss: 0.1865, Test MAE: 0.1623, Best MAE: 0.1623
Epoch: 008, Train Loss: 0.1704, Test MAE: 0.1425, Best MAE: 0.1425
Epoch: 009, Train Loss: 0.1575, Test MAE: 0.1465, Best MAE: 0.1425
Epoch: 010, Train Loss: 0.1466, Test MAE: 0.1296, Best MAE: 0.1296
Epoch: 011, Train Loss: 0.1376, Test MAE: 0.1193, Best MAE: 0.1193
Epoch: 012, Train Loss: 0.1291, Test MAE: 0.1172, Best MAE: 0.1172
Epoch: 013, Train Loss: 0.1216, Test MAE: 0.1070, Best MAE: 0.1070
Epoch: 014, Train Loss: 0.1151, Test MAE: 0.0965, Best MAE: 0.0965
Epoch: 015, Train Loss: 0.1111, Test MAE: 0.1137, Best MAE: 0.0965
Epoch: 016, Train Loss: 0.1057, Test MAE: 0.0929, Best MAE: 0.0929
Epoch: 017, Train Loss: 0.1043, Test MAE: 0.0841, Best MAE: 0.0841
Epoch: 018, Train Loss: 0.0992, Test MAE: 0.0848, Best MAE: 0.0841
Epoch: 019, Train Loss: 0.0951, Test MAE: 0.0841, Best MAE: 0.0841
Epoch: 020, Train Loss: 0.0954, Test MAE: 0.0794, Best MAE: 0.0794
Epoch: 021, Train Loss: 0.0901, Test MAE: 0.0875, Best MAE: 0.0794
Epoch: 022, Train Loss: 0.0880, Test MAE: 0.0749, Best MAE: 0.0749
Epoch: 023, Train Loss: 0.0849, Test MAE: 0.0717, Best MAE: 0.0717
Epoch: 024, Train Loss: 0.0849, Test MAE: 0.0707, Best MAE: 0.0707
Epoch: 025, Train Loss: 0.0846, Test MAE: 0.0767, Best MAE: 0.0707
Epoch: 026, Train Loss: 0.0804, Test MAE: 0.0734, Best MAE: 0.0707
Epoch: 027, Train Loss: 0.0779, Test MAE: 0.0641, Best MAE: 0.0641
Epoch: 028, Train Loss: 0.0763, Test MAE: 0.0634, Best MAE: 0.0634
Epoch: 029, Train Loss: 0.0754, Test MAE: 0.0665, Best MAE: 0.0634
Epoch: 030, Train Loss: 0.0735, Test MAE: 0.0616, Best MAE: 0.0616
Epoch: 031, Train Loss: 0.0752, Test MAE: 0.0608, Best MAE: 0.0608
Epoch: 032, Train Loss: 0.0706, Test MAE: 0.0682, Best MAE: 0.0608
Epoch: 033, Train Loss: 0.0723, Test MAE: 0.0585, Best MAE: 0.0585
Epoch: 034, Train Loss: 0.0689, Test MAE: 0.0573, Best MAE: 0.0573
Epoch: 035, Train Loss: 0.0681, Test MAE: 0.0565, Best MAE: 0.0565
Epoch: 036, Train Loss: 0.0670, Test MAE: 0.0575, Best MAE: 0.0565
Epoch: 037, Train Loss: 0.0667, Test MAE: 0.0517, Best MAE: 0.0517
Epoch: 038, Train Loss: 0.0660, Test MAE: 0.0511, Best MAE: 0.0511
Epoch: 039, Train Loss: 0.0630, Test MAE: 0.0524, Best MAE: 0.0511
Epoch: 040, Train Loss: 0.0644, Test MAE: 0.0521, Best MAE: 0.0511
Epoch: 041, Train Loss: 0.0635, Test MAE: 0.0683, Best MAE: 0.0511
Epoch: 042, Train Loss: 0.0626, Test MAE: 0.0546, Best MAE: 0.0511
Epoch: 043, Train Loss: 0.0627, Test MAE: 0.0567, Best MAE: 0.0511
Epoch: 044, Train Loss: 0.0611, Test MAE: 0.0569, Best MAE: 0.0511
Epoch: 045, Train Loss: 0.0592, Test MAE: 0.0524, Best MAE: 0.0511
Epoch: 046, Train Loss: 0.0588, Test MAE: 0.0601, Best MAE: 0.0511
Epoch: 047, Train Loss: 0.0586, Test MAE: 0.0585, Best MAE: 0.0511
Epoch: 048, Train Loss: 0.0589, Test MAE: 0.0477, Best MAE: 0.0477
Epoch: 049, Train Loss: 0.0580, Test MAE: 0.0701, Best MAE: 0.0477
Epoch: 050, Train Loss: 0.0563, Test MAE: 0.0641, Best MAE: 0.0477
Epoch: 051, Train Loss: 0.0572, Test MAE: 0.0482, Best MAE: 0.0477
Epoch: 052, Train Loss: 0.0559, Test MAE: 0.0489, Best MAE: 0.0477
Epoch: 053, Train Loss: 0.0552, Test MAE: 0.0473, Best MAE: 0.0473
Epoch: 054, Train Loss: 0.0546, Test MAE: 0.0507, Best MAE: 0.0473
Epoch: 055, Train Loss: 0.0569, Test MAE: 0.0517, Best MAE: 0.0473
Epoch: 056, Train Loss: 0.0575, Test MAE: 0.0449, Best MAE: 0.0449
Epoch: 057, Train Loss: 0.0540, Test MAE: 0.0457, Best MAE: 0.0449
Epoch: 058, Train Loss: 0.0529, Test MAE: 0.0590, Best MAE: 0.0449
Epoch: 059, Train Loss: 0.0532, Test MAE: 0.0535, Best MAE: 0.0449
Epoch: 060, Train Loss: 0.0539, Test MAE: 0.0467, Best MAE: 0.0449
Epoch: 061, Train Loss: 0.0525, Test MAE: 0.0443, Best MAE: 0.0443
Epoch: 062, Train Loss: 0.0528, Test MAE: 0.0458, Best MAE: 0.0443
Epoch: 063, Train Loss: 0.0518, Test MAE: 0.0513, Best MAE: 0.0443
Epoch: 064, Train Loss: 0.0508, Test MAE: 0.0433, Best MAE: 0.0433
Epoch: 065, Train Loss: 0.0512, Test MAE: 0.0440, Best MAE: 0.0433
Epoch: 066, Train Loss: 0.0514, Test MAE: 0.0626, Best MAE: 0.0433
Epoch: 067, Train Loss: 0.0505, Test MAE: 0.0430, Best MAE: 0.0430
Epoch: 068, Train Loss: 0.0510, Test MAE: 0.0450, Best MAE: 0.0430
Epoch: 069, Train Loss: 0.0498, Test MAE: 0.0432, Best MAE: 0.0430
Epoch: 070, Train Loss: 0.0497, Test MAE: 0.0507, Best MAE: 0.0430
Epoch: 071, Train Loss: 0.0497, Test MAE: 0.0400, Best MAE: 0.0400
Epoch: 072, Train Loss: 0.0494, Test MAE: 0.0394, Best MAE: 0.0394
Epoch: 073, Train Loss: 0.0499, Test MAE: 0.0444, Best MAE: 0.0394
Epoch: 074, Train Loss: 0.0483, Test MAE: 0.0421, Best MAE: 0.0394
Epoch: 075, Train Loss: 0.0488, Test MAE: 0.0428, Best MAE: 0.0394
Epoch: 076, Train Loss: 0.0483, Test MAE: 0.0431, Best MAE: 0.0394
Epoch: 077, Train Loss: 0.0482, Test MAE: 0.0402, Best MAE: 0.0394
Epoch: 078, Train Loss: 0.0483, Test MAE: 0.0415, Best MAE: 0.0394
Epoch: 079, Train Loss: 0.0474, Test MAE: 0.0381, Best MAE: 0.0381
Epoch: 080, Train Loss: 0.0468, Test MAE: 0.0430, Best MAE: 0.0381
Epoch: 081, Train Loss: 0.0464, Test MAE: 0.0505, Best MAE: 0.0381
Epoch: 082, Train Loss: 0.0480, Test MAE: 0.0445, Best MAE: 0.0381
Epoch: 083, Train Loss: 0.0461, Test MAE: 0.0369, Best MAE: 0.0369
Epoch: 084, Train Loss: 0.0459, Test MAE: 0.0374, Best MAE: 0.0369
Epoch: 085, Train Loss: 0.0466, Test MAE: 0.0386, Best MAE: 0.0369
Epoch: 086, Train Loss: 0.0458, Test MAE: 0.0404, Best MAE: 0.0369
Epoch: 087, Train Loss: 0.0455, Test MAE: 0.0384, Best MAE: 0.0369
Epoch: 088, Train Loss: 0.0447, Test MAE: 0.0365, Best MAE: 0.0365
Epoch: 089, Train Loss: 0.0453, Test MAE: 0.0380, Best MAE: 0.0365
Epoch: 090, Train Loss: 0.0446, Test MAE: 0.0364, Best MAE: 0.0364
Epoch: 091, Train Loss: 0.0450, Test MAE: 0.0356, Best MAE: 0.0356
Epoch: 092, Train Loss: 0.0434, Test MAE: 0.0378, Best MAE: 0.0356
Epoch: 093, Train Loss: 0.0441, Test MAE: 0.0362, Best MAE: 0.0356
Epoch: 094, Train Loss: 0.0435, Test MAE: 0.0406, Best MAE: 0.0356
Epoch: 095, Train Loss: 0.0438, Test MAE: 0.0383, Best MAE: 0.0356
Epoch: 096, Train Loss: 0.0423, Test MAE: 0.0380, Best MAE: 0.0356
Epoch: 097, Train Loss: 0.0417, Test MAE: 0.0371, Best MAE: 0.0356
Epoch: 098, Train Loss: 0.0413, Test MAE: 0.0362, Best MAE: 0.0356
Epoch: 099, Train Loss: 0.0421, Test MAE: 0.0401, Best MAE: 0.0356
Epoch: 100, Train Loss: 0.0411, Test MAE: 0.0357, Best MAE: 0.0356
Epoch: 101, Train Loss: 0.0414, Test MAE: 0.0387, Best MAE: 0.0356
Epoch: 102, Train Loss: 0.0419, Test MAE: 0.0361, Best MAE: 0.0356
Epoch: 103, Train Loss: 0.0411, Test MAE: 0.0370, Best MAE: 0.0356
Epoch: 104, Train Loss: 0.0408, Test MAE: 0.0361, Best MAE: 0.0356
Epoch: 105, Train Loss: 0.0421, Test MAE: 0.0370, Best MAE: 0.0356
Epoch: 106, Train Loss: 0.0407, Test MAE: 0.0353, Best MAE: 0.0353
Epoch: 107, Train Loss: 0.0401, Test MAE: 0.0381, Best MAE: 0.0353
Epoch: 108, Train Loss: 0.0408, Test MAE: 0.0406, Best MAE: 0.0353
Epoch: 109, Train Loss: 0.0396, Test MAE: 0.0386, Best MAE: 0.0353
Epoch: 110, Train Loss: 0.0404, Test MAE: 0.0341, Best MAE: 0.0341
Epoch: 111, Train Loss: 0.0402, Test MAE: 0.0351, Best MAE: 0.0341
Epoch: 112, Train Loss: 0.0385, Test MAE: 0.0350, Best MAE: 0.0341
Epoch: 113, Train Loss: 0.0391, Test MAE: 0.0376, Best MAE: 0.0341
Epoch: 114, Train Loss: 0.0389, Test MAE: 0.0334, Best MAE: 0.0334
Epoch: 115, Train Loss: 0.0398, Test MAE: 0.0438, Best MAE: 0.0334
Epoch: 116, Train Loss: 0.0385, Test MAE: 0.0351, Best MAE: 0.0334
Epoch: 117, Train Loss: 0.0380, Test MAE: 0.0352, Best MAE: 0.0334
Epoch: 118, Train Loss: 0.0382, Test MAE: 0.0347, Best MAE: 0.0334
Epoch: 119, Train Loss: 0.0387, Test MAE: 0.0411, Best MAE: 0.0334
Epoch: 120, Train Loss: 0.0402, Test MAE: 0.0344, Best MAE: 0.0334
Epoch: 121, Train Loss: 0.0391, Test MAE: 0.0372, Best MAE: 0.0334
Epoch: 122, Train Loss: 0.0375, Test MAE: 0.0393, Best MAE: 0.0334
Epoch: 123, Train Loss: 0.0370, Test MAE: 0.0352, Best MAE: 0.0334
Epoch: 124, Train Loss: 0.0390, Test MAE: 0.0375, Best MAE: 0.0334
Epoch: 125, Train Loss: 0.0382, Test MAE: 0.0344, Best MAE: 0.0334
Epoch: 126, Train Loss: 0.0374, Test MAE: 0.0403, Best MAE: 0.0334
Epoch: 127, Train Loss: 0.0370, Test MAE: 0.0380, Best MAE: 0.0334
Epoch: 128, Train Loss: 0.0362, Test MAE: 0.0340, Best MAE: 0.0334
Epoch: 129, Train Loss: 0.0368, Test MAE: 0.0374, Best MAE: 0.0334
Epoch: 130, Train Loss: 0.0365, Test MAE: 0.0351, Best MAE: 0.0334
Epoch: 131, Train Loss: 0.0366, Test MAE: 0.0382, Best MAE: 0.0334
Epoch: 132, Train Loss: 0.0359, Test MAE: 0.0342, Best MAE: 0.0334
Epoch: 133, Train Loss: 0.0371, Test MAE: 0.0373, Best MAE: 0.0334
Epoch: 134, Train Loss: 0.0354, Test MAE: 0.0414, Best MAE: 0.0334
Epoch: 135, Train Loss: 0.0359, Test MAE: 0.0400, Best MAE: 0.0334
Epoch: 136, Train Loss: 0.0370, Test MAE: 0.0366, Best MAE: 0.0334
Epoch: 137, Train Loss: 0.0356, Test MAE: 0.0360, Best MAE: 0.0334
Epoch: 138, Train Loss: 0.0361, Test MAE: 0.0349, Best MAE: 0.0334
Epoch: 139, Train Loss: 0.0359, Test MAE: 0.0418, Best MAE: 0.0334
Epoch: 140, Train Loss: 0.0357, Test MAE: 0.0333, Best MAE: 0.0333
Epoch: 141, Train Loss: 0.0349, Test MAE: 0.0354, Best MAE: 0.0333
Epoch: 142, Train Loss: 0.0353, Test MAE: 0.0331, Best MAE: 0.0331
Epoch: 143, Train Loss: 0.0350, Test MAE: 0.0346, Best MAE: 0.0331
Epoch: 144, Train Loss: 0.0347, Test MAE: 0.0375, Best MAE: 0.0331
Epoch: 145, Train Loss: 0.0357, Test MAE: 0.0382, Best MAE: 0.0331
Epoch: 146, Train Loss: 0.0351, Test MAE: 0.0408, Best MAE: 0.0331
Epoch: 147, Train Loss: 0.0363, Test MAE: 0.0446, Best MAE: 0.0331
Epoch: 148, Train Loss: 0.0345, Test MAE: 0.0357, Best MAE: 0.0331
Epoch: 149, Train Loss: 0.0352, Test MAE: 0.0452, Best MAE: 0.0331
Epoch: 150, Train Loss: 0.0362, Test MAE: 0.0411, Best MAE: 0.0331
Epoch: 151, Train Loss: 0.0340, Test MAE: 0.0313, Best MAE: 0.0313
Epoch: 152, Train Loss: 0.0354, Test MAE: 0.0405, Best MAE: 0.0313
Epoch: 153, Train Loss: 0.0339, Test MAE: 0.0388, Best MAE: 0.0313
Epoch: 154, Train Loss: 0.0362, Test MAE: 0.0336, Best MAE: 0.0313
Epoch: 155, Train Loss: 0.0329, Test MAE: 0.0371, Best MAE: 0.0313
Epoch: 156, Train Loss: 0.0333, Test MAE: 0.0337, Best MAE: 0.0313
Epoch: 157, Train Loss: 0.0331, Test MAE: 0.0384, Best MAE: 0.0313
Epoch: 158, Train Loss: 0.0361, Test MAE: 0.0335, Best MAE: 0.0313
Epoch: 159, Train Loss: 0.0331, Test MAE: 0.0334, Best MAE: 0.0313
Epoch: 160, Train Loss: 0.0328, Test MAE: 0.0320, Best MAE: 0.0313
Epoch: 161, Train Loss: 0.0335, Test MAE: 0.0323, Best MAE: 0.0313
Epoch: 162, Train Loss: 0.0340, Test MAE: 0.0427, Best MAE: 0.0313
Epoch: 163, Train Loss: 0.0323, Test MAE: 0.0309, Best MAE: 0.0309
Epoch: 164, Train Loss: 0.0328, Test MAE: 0.0323, Best MAE: 0.0309
Epoch: 165, Train Loss: 0.0332, Test MAE: 0.0336, Best MAE: 0.0309
Epoch: 166, Train Loss: 0.0323, Test MAE: 0.0308, Best MAE: 0.0308
Epoch: 167, Train Loss: 0.0320, Test MAE: 0.0306, Best MAE: 0.0306
Epoch: 168, Train Loss: 0.0317, Test MAE: 0.0304, Best MAE: 0.0304
Epoch: 169, Train Loss: 0.0328, Test MAE: 0.0339, Best MAE: 0.0304
Epoch: 170, Train Loss: 0.0328, Test MAE: 0.0305, Best MAE: 0.0304
Epoch: 171, Train Loss: 0.0335, Test MAE: 0.0371, Best MAE: 0.0304
Epoch: 172, Train Loss: 0.0320, Test MAE: 0.0352, Best MAE: 0.0304
Epoch: 173, Train Loss: 0.0311, Test MAE: 0.0352, Best MAE: 0.0304
Epoch: 174, Train Loss: 0.0337, Test MAE: 0.0301, Best MAE: 0.0301
Epoch: 175, Train Loss: 0.0314, Test MAE: 0.0348, Best MAE: 0.0301
Epoch: 176, Train Loss: 0.0317, Test MAE: 0.0378, Best MAE: 0.0301
Epoch: 177, Train Loss: 0.0314, Test MAE: 0.0343, Best MAE: 0.0301
Epoch: 178, Train Loss: 0.0323, Test MAE: 0.0307, Best MAE: 0.0301
Epoch: 179, Train Loss: 0.0322, Test MAE: 0.0317, Best MAE: 0.0301
Epoch: 180, Train Loss: 0.0308, Test MAE: 0.0318, Best MAE: 0.0301
Epoch: 181, Train Loss: 0.0329, Test MAE: 0.0351, Best MAE: 0.0301
Epoch: 182, Train Loss: 0.0315, Test MAE: 0.0308, Best MAE: 0.0301
Epoch: 183, Train Loss: 0.0323, Test MAE: 0.0339, Best MAE: 0.0301
Epoch: 184, Train Loss: 0.0309, Test MAE: 0.0306, Best MAE: 0.0301
Epoch: 185, Train Loss: 0.0328, Test MAE: 0.0345, Best MAE: 0.0301
Epoch: 186, Train Loss: 0.0320, Test MAE: 0.0328, Best MAE: 0.0301
Epoch: 187, Train Loss: 0.0322, Test MAE: 0.0298, Best MAE: 0.0298
Epoch: 188, Train Loss: 0.0308, Test MAE: 0.0296, Best MAE: 0.0296
Epoch: 189, Train Loss: 0.0308, Test MAE: 0.0308, Best MAE: 0.0296
Epoch: 190, Train Loss: 0.0309, Test MAE: 0.0308, Best MAE: 0.0296
Epoch: 191, Train Loss: 0.0303, Test MAE: 0.0331, Best MAE: 0.0296
